"COMP 125-001",Wetzel,"Summer 2020","`COMP 125-001: Wetzel <https://drive.google.com/open?id=1i1EOFw_6axwLRllEKnjSB-_t9bxvMG77>`__"
"COMP 150-001",Harrington,"Summer 2020","`COMP 150-001: Harrington <https://drive.google.com/open?id=1TUFlWs0WnjLawr-wU5JacOrOKZxoP-Gb>`__"
"COMP 313-001",Yacobellis,"Summer 2020","`COMP 313-001: Yacobellis <https://drive.google.com/open?id=1WThCK2c12s9Kvq6pw6Z8CObTxUF9F8oB>`__"
"COMP 349-001",Schmitz,"Summer 2020","`COMP 349-001: Schmitz <https://drive.google.com/open?id=1c2P0Nx_vl5o_KIdTcbwfsq2eQ8okHXPS>`__"
"COMP 413-001",Yacobellis,"Summer 2020","`COMP 413-001: Yacobellis <https://drive.google.com/open?id=12RYhNOwazJf_ZLSYtUnlFfcurOynVL0L>`__"
"COMP 449-001",Schmitz,"Summer 2020","`COMP 449-001: Schmitz <https://drive.google.com/open?id=1XuJlApIAtPcM8bWbZ0Hq1q4SERn4BIwG>`__"
